cactus,14.461999999999938
test,17.764999999999787
pencil,13.467999999999943
yeahthatsbetter,14.321999999999939
ef,23.241999999999468
yellow,15.96599999999991
red,14.72499999999995
green,19.427999999999695
happy,15.420999999999914
sad,14.987999999999934
neutral,15.395999999999926
ilikepizza,20.02599999999965
45,15.597999999999915
sunny,12.407999999999959
greenblob,14.12499999999994
tigerthing,11.64899999999999
i pressed play,15.754999999999917
not really a test,18.339999999999776
semicolon,13.837999999999953
thisisnotATEST,16.4319999999999
tomato,19.205999999999708
tomatotwo,15.74199999999991
test1234567,14.479999999999931
prariedog,13.182999999999952
8,18.19299999999975
p09,15.445999999999932
qwiu32	7,16.6719999999999
celery,15.871999999999904
restaurant,13.161999999999958
banana,14.844999999999917
notonleaderbaors,15.067999999999929
 4,19.932999999999662
i keep dying on this run,13.637999999999941
warning,16.706999999999883
thatwasquick,14.42199999999993
error 404,17.03699999999985
tomato+again,19.45699999999971
finalrun,20.568999999999626
